time_normalized,blue,orange
0.3851732,0.8545151,0.6282051
0.3859790,0.8450390,0.6348941
0.3867849,0.8260870,0.6360089
0.3875907,0.8372352,0.6432553
0.3883965,0.8534002,0.6365663
0.3892023,0.8478261,0.6371237
0.3900081,0.8227425,0.6382386
0.3908139,0.8221851,0.6382386
0.3916197,0.8288740,0.6393534
0.3924255,0.8311037,0.6326644
0.3932313,0.8154961,0.6259755
0.3940371,0.8060201,0.6248606
0.3948429,0.7959866,0.6181717
0.3956487,0.7898551,0.6181717
0.3964545,0.7954292,0.6014493
0.3972603,0.8160535,0.6003344
0.3980661,0.8071349,0.5903010
0.3988719,0.7976589,0.5914158
0.3996777,0.7998885,0.6098105
0.4004835,0.7931996,0.6231884
0.4012893,0.7742475,0.6360089
0.4020951,0.7742475,0.6226310
0.4029009,0.7736901,0.5897436
0.4037067,0.7859532,0.5713489
0.4045125,0.8010033,0.5719064
0.4053183,0.8010033,0.5791527
0.4061241,0.7870680,0.5791527
0.4069299,0.7725753,0.5791527
0.4077357,0.7625418,0.5791527
0.4085415,0.7525084,0.5791527
0.4093473,0.7558528,0.5791527
0.4101531,0.7686734,0.5791527
0.4109589,0.7703456,0.5791527
0.4117647,0.7597547,0.5707915
0.4125705,0.7536232,0.5730212
0.4133763,0.7430323,0.5785953
0.4141821,0.7447046,0.5730212
0.4149879,0.7536232,0.5652174
0.4157937,0.7419175,0.5507246
0.4165995,0.7408027,0.5501672
0.4174053,0.7385730,0.5429208
0.4182111,0.7458194,0.5423634
0.4190169,0.7396878,0.5434783
0.4198227,0.7396878,0.5512821
0.4206285,0.7201784,0.5512821
0.4214343,0.7207358,0.5512821
0.4222401,0.7162765,0.5512821
0.4230459,0.6984392,0.5445931
0.4238517,0.6956522,0.5445931
0.4246575,0.7084727,0.5512821
0.4254633,0.6973244,0.5512821
0.4262691,0.6906355,0.5585284
0.4270749,0.6878484,0.5590858
0.4278807,0.6755853,0.5627090
0.4286865,0.6783724,0.5663322
0.4294923,0.6778149,0.5663322
0.4302981,0.6783724,0.5663322
0.4311039,0.6694537,0.5663322
0.4319098,0.6672241,0.5663322
0.4327156,0.6767001,0.5585284
0.4335214,0.6755853,0.5585284
0.4343272,0.6644370,0.5507246
0.4351330,0.6683389,0.5183946
0.4359388,0.6694537,0.5055741
0.4367446,0.6694537,0.4855072
0.4375504,0.6688963,0.4855072
0.4383562,0.6649944,0.4788183
0.4391620,0.6527313,0.4777035
0.4399678,0.6488294,0.4715719
0.4407736,0.6638796,0.4715719
0.4415794,0.6644370,0.4710145
0.4423852,0.6649944,0.4710145
0.4431910,0.6622074,0.4715719
0.4439968,0.6516165,0.4643255
0.4448026,0.6471572,0.4632107
0.4456084,0.6516165,0.4559643
0.4464142,0.6454849,0.4487179
0.4472200,0.6454849,0.4420290
0.4480258,0.6605351,0.4336678
0.4488316,0.6527313,0.4336678
0.4496374,0.6555184,0.4258640
0.4504432,0.6499443,0.4258640
0.4512490,0.6493868,0.4258640
0.4520548,0.6460424,0.4258640
0.4528606,0.6460424,0.4258640
0.4536664,0.6471572,0.4258640
0.4544722,0.6477146,0.4258640
0.4552780,0.6365663,0.4258640
0.4560838,0.6371237,0.4258640
0.4568896,0.6421405,0.4258640
0.4576954,0.6354515,0.4258640
0.4585012,0.6393534,0.4253066
0.4593070,0.6382386,0.4186176
0.4601128,0.6332219,0.4113712
0.4609186,0.6276477,0.4113712
0.4617244,0.6276477,0.4113712
0.4625302,0.6187291,0.4113712
0.4633360,0.6276477,0.4113712
0.4641418,0.6270903,0.4113712
0.4649476,0.6176143,0.4113712
0.4657534,0.6103679,0.4041249
0.4665592,0.6103679,0.3968785
0.4673650,0.6098105,0.3968785
0.4681708,0.6086957,0.4041249
0.4689766,0.6014493,0.4052397
0.4697824,0.6081382,0.4124861
0.4705882,0.5958751,0.4124861
0.4713940,0.6020067,0.4124861
0.4721998,0.6064660,0.4124861
0.4730056,0.6059086,0.4130435
0.4738114,0.6059086,0.4130435
0.4746172,0.6047938,0.4124861
0.4754230,0.5975474,0.4124861
0.4762288,0.5953177,0.4124861
0.4770346,0.5969900,0.4124861
0.4778405,0.5908584,0.4124861
0.4786463,0.5836120,0.4124861
0.4794521,0.5903010,0.4124861
0.4802579,0.5730212,0.4202899
0.4810637,0.5624303,0.4208473
0.4818695,0.5696767,0.4280936
0.4826753,0.5769231,0.4280936
0.4834811,0.5685619,0.4280936
0.4842869,0.5674470,0.4124861
0.4850927,0.5668896,0.4119287
0.4858985,0.5657748,0.3968785
0.4867043,0.5741360,0.3968785
0.4875101,0.5824972,0.3968785
0.4883159,0.5680045,0.3968785
0.4891217,0.5674470,0.3968785
0.4899275,0.5680045,0.3968785
0.4907333,0.5680045,0.3901895
0.4915391,0.5674470,0.3896321
0.4923449,0.5741360,0.3858696
0.4931507,0.5719064,0.3821070
0.4939565,0.5657748,0.3783445
0.4947623,0.5657748,0.3745819
0.4955681,0.5713489,0.3740245
0.4963739,0.5719064,0.3667781
0.4971797,0.5646600,0.3667781
0.4979855,0.5641026,0.3667781
0.4987913,0.5646600,0.3595318
0.4995971,0.5646600,0.3584169
0.5004029,0.5641026,0.3517280
0.5012087,0.5652174,0.3511706
